"name","position","perf.index","std.w","std.sv","std.k","std.era","std.whip","std.r","std.hr","std.rbi","std.sb","std.obp","std.w.obp","w","sv","k","era","whip","r","hr","rbi","sb","obp","w.obp"
"98","Jose Fernandez","SP",8.77009855711088,3.19469120286827,-0.036909560283025,3.61825603903945,2.31875287906032,2.06056399090669,NA,NA,NA,NA,NA,NA,8.33333333333333,0,131.666666666667,2.90666666666667,1.12,NA,NA,NA,NA,NA,NA
"99","Kyle Hendricks","SP",8.54239988902393,3.77730206100633,-0.036909560283025,2.75375316190383,1.33727041723969,1.46370990336564,NA,NA,NA,NA,NA,NA,9.66666666666667,0,104,3.71333333333333,1.23333333333333,NA,NA,NA,NA,NA,NA
"100","Michael Pineda","SP",8.5071086041309,3.4859966319373,-0.036909560283025,3.05580838403555,1.48733178536929,1.83235507508217,NA,NA,NA,NA,NA,NA,9,0,113.666666666667,3.59,1.16333333333333,NA,NA,NA,NA,NA,NA
"101","Cliff Lee","SP",8.42731251850065,2.90338577379923,-0.036909560283025,3.49326767126081,1.75095310775912,2.06056399090669,NA,NA,NA,NA,NA,NA,7.66666666666667,0,127.666666666667,3.37333333333333,1.12,NA,NA,NA,NA,NA,NA
"102","Danny Duffy","SP",8.42096435014928,3.4859966319373,-0.036909560283025,3.014145594776,1.43460752089132,1.09506473164911,NA,NA,NA,NA,NA,NA,9,0,112.333333333333,3.63333333333333,1.30333333333333,NA,NA,NA,NA,NA,NA
"103","Dellin Betances","RP",8.35865760981936,1.30120591391954,2.77325890571712,2.64959618875496,2.80543839731848,2.30632743871771,NA,NA,NA,NA,NA,NA,4,24,100.666666666667,2.50666666666667,1.07333333333333,NA,NA,NA,NA,NA,NA
"104","Taijuan Walker","SP",8.35491304334194,3.19469120286827,-0.036909560283025,3.27453802764818,1.13448478463212,1.16528285959512,NA,NA,NA,NA,NA,NA,8.33333333333333,0,120.666666666667,3.88,1.29,NA,NA,NA,NA,NA,NA
"105","Shane Greene","SP",8.26136549442886,3.19469120286827,-0.036909560283025,3.19121244912908,0.668077829634709,0.831746751851594,NA,NA,NA,NA,NA,NA,8.33333333333333,0,118,4.26333333333333,1.35333333333333,NA,NA,NA,NA,NA,NA
"106","Zach Britton","RP",8.24329182054833,1.00990048485051,4.47106902059221,1.36846541902385,2.20113721214793,1.49881896733865,NA,NA,NA,NA,NA,NA,3.33333333333333,38.5,59.6666666666667,3.00333333333333,1.22666666666667,NA,NA,NA,NA,NA,NA
"107","Glen Perkins","RP",8.09469469901539,1.00990048485051,4.17834313871719,1.62885785189603,2.03079728075757,2.02545492693369,NA,NA,NA,NA,NA,NA,3.33333333333333,36,68,3.14333333333333,1.12666666666667,NA,NA,NA,NA,NA,NA
